NOME IMMAGINE,KMEANS CLUSTERS,KMEANS INERTIA,GMM CLUSTERS,GMM INERTIA
geojson_205232.tif,3,20.58625,4,37.77442
geojson_205275.tif,3,57.89982,4,107.66293
geojson_205313.tif,3,13.51455,2,25.14573
geojson_205410.tif,4,2.02011,4,2.24845
geojson_205694.tif,3,0.51663,3,0.51965
geojson_205860.tif,2,5.3227,2,5.70384
geojson_207551.tif,4,4.55089,4,6.15213
geojson_207579.tif,3,7.6175,4,9.68417
geojson_207663.tif,3,4.48163,3,6.26262
geojson_207778.tif,3,4.14065,3,5.31487
geojson_208748.tif,3,161.58682,6,267.91198
geojson_208874.tif,3,148.88272,4,265.28732
geojson_209096.tif,3,10.62876,5,12.61806
geojson_209099.tif,4,1.41972,4,1.52922
geojson_209340.tif,3,4.89576,4,5.53397
geojson_209353.tif,3,7.24637,5,8.74385
geojson_209626.tif,3,9.94267,2,21.49317
geojson_209944.tif,3,2.48404,3,2.98017
geojson_210612.tif,4,8.16099,5,8.26068
geojson_211704.tif,3,7.38388,5,7.3412
geojson_212119.tif,4,4.10904,6,4.24854
geojson_214138.tif,3,33.23084,8,34.00992
geojson_214896.tif,3,2.46298,3,2.63868
geojson_215512.tif,3,13.15572,3,25.975
geojson_215827.tif,3,89.49584,2,248.10455
geojson_216167.tif,3,9.19868,6,8.69727
geojson_217343.tif,2,4.21164,3,2.89229
geojson_217461.tif,3,2.48136,3,2.79028
geojson_218776.tif,3,2.69795,4,3.4677
geojson_219046.tif,3,0.67428,3,0.72683
geojson_220385.tif,4,2.06665,4,2.12631
geojson_221156.tif,2,2.43777,3,2.29833
geojson_221378.tif,4,0.88931,6,0.78934
geojson_221385.tif,3,0.86722,3,0.95817
geojson_221858.tif,3,1.16065,3,1.35539
geojson_224098.tif,2,10.69572,2,17.94764
geojson_224238.tif,3,10.28755,6,10.31429
geojson_224311.tif,3,14.84883,4,21.04275
geojson_224389.tif,3,3.61636,3,4.72508
geojson_224613.tif,3,1.3716,3,1.6459
geojson_224787.tif,3,5.14223,5,4.66832
geojson_225202.tif,3,3.90383,4,3.89392
geojson_225616.tif,3,3.27839,3,3.82708
geojson_225784.tif,3,0.12381,3,0.12381
geojson_225856.tif,3,2.81186,4,2.62312
geojson_225962.tif,3,6.31133,5,5.901
geojson_226038.tif,3,1.23599,4,1.21692
geojson_226337.tif,4,6.20114,4,10.16275
geojson_226449.tif,3,2.22834,3,2.96625
geojson_226489.tif,3,8.84115,4,9.15225
geojson_226527.tif,3,12.07594,5,16.56463
geojson_226535.tif,3,16.98044,3,26.04268
geojson_227172.tif,3,59.01803,5,62.99608
geojson_227295.tif,3,1.7058,3,1.89929
geojson_227339.tif,2,12.54429,3,13.84272
geojson_227351.tif,3,29.97929,4,50.74376
geojson_231688.tif,5,0.78835,3,1.80179
geojson_231691.tif,3,7.68813,4,7.8163
geojson_233723.tif,3,135.38852,3,282.06502
geojson_237590.tif,2,3.18748,3,3.06137
geojson_237743.tif,3,9.16875,5,12.00428
geojson_238371.tif,2,2.0083,2,2.02884
geojson_238605.tif,2,7.91178,5,5.05273
geojson_238761.tif,4,4.39595,4,6.39991
geojson_239222.tif,3,1.20107,3,1.30547
geojson_239673.tif,3,13.49554,6,13.04648
geojson_239924.tif,2,2.15038,2,2.23005
geojson_240161.tif,3,6.34659,4,6.32324
geojson_240194.tif,3,6.71025,4,5.78107
geojson_240780.tif,3,14.0238,4,22.89814
geojson_241305.tif,3,5.48438,3,7.38807
geojson_241376.tif,4,19.48642,2,52.09819
geojson_241419.tif,3,6.88478,6,5.20522
geojson_241588.tif,3,0.95561,3,0.9591
geojson_241739.tif,3,12.67135,2,26.82152
geojson_243038.tif,3,1.85065,3,2.14742
geojson_243584.tif,3,36.34391,4,63.92877
geojson_243622.tif,4,10.41596,6,12.76651
geojson_244123.tif,2,2.84545,2,2.88893
geojson_244527.tif,2,4.34515,4,3.31357
geojson_244713.tif,3,1.19981,3,1.24001
geojson_245186.tif,2,1.09656,2,1.12869
geojson_245256.tif,3,6.14167,3,8.25182
geojson_245296.tif,3,20.32181,3,30.42737
geojson_245603.tif,2,8.61271,4,6.66031
geojson_245649.tif,3,10.70827,3,16.17467
geojson_245811.tif,3,5.31586,6,4.36881
geojson_246076.tif,3,3.79887,4,3.76865
geojson_246123.tif,3,2.02143,5,1.46661
geojson_246278.tif,3,34.91633,2,68.83616
geojson_246341.tif,3,55.73121,2,148.57818
geojson_246345.tif,3,2.71299,3,2.79562
geojson_246346.tif,3,10.40561,3,12.55482
geojson_247034.tif,3,21.84989,4,27.66187
geojson_248168.tif,3,0.27978,5,0.17768
geojson_248244.tif,3,0.13649,3,0.13649
geojson_248682.tif,3,4.15654,3,5.96362
geojson_249088.tif,3,10.55177,3,17.79453
geojson_249298.tif,3,46.76282,5,54.23027
geojson_249430.tif,2,2.13381,4,0.99114
geojson_249603.tif,3,24.16958,3,52.19354
geojson_249620.tif,2,4.2847,2,4.52106
geojson_250430.tif,3,2.29088,3,2.55843
geojson_250442.tif,3,1.67095,3,1.6773
geojson_250611.tif,2,1.54627,3,1.27814
geojson_250694.tif,3,0.19487,3,0.19487
geojson_250956.tif,3,3.3416,5,2.98126
geojson_250989.tif,3,18.68135,2,38.91853
geojson_251057.tif,3,5.93206,5,4.4468
geojson_251112.tif,3,4.61803,4,4.99793
geojson_251136.tif,4,2.75319,4,3.08381
geojson_251325.tif,3,11.65445,5,17.38409
geojson_251734.tif,3,26.01395,5,36.9155
geojson_251845.tif,3,4.00899,3,4.44314
geojson_251873.tif,2,0.34706,2,0.34706
geojson_251980.tif,3,17.06237,3,36.31067
geojson_252077.tif,3,9.60757,3,12.5786
geojson_252149.tif,3,15.71774,5,21.88501
